United States,Alabama
United States,Alaska
United States,Arizona
United States,Arkansas
United States,California
United States,Colorado
United States,Connecticut
United States,Delaware
United States,Florida
United States,Georgia
United States,Hawaii
United States,Idaho
United States,Illinois
United States,Indiana
United States,Iowa
United States,Kansas
United States,Kentucky
United States,Louisiana
United States,Maine
United States,Maryland
United States,Massachusetts
United States,Michigan
United States,Minnesota
United States,Mississippi
United States,Missouri
United States,Montana
United States,Nebraska
United States,Nevada
United States,New Hampshire
United States,New Jersey
United States,New Mexico
United States,New York
United States,North Carolina
United States,North Dakota
United States,Ohio
United States,Oklahoma
United States,Oregon
United States,Pennsylvania
United States,Rhode Island
United States,South Carolina
United States,South Dakota
United States,Tennessee
United States,Texas
United States,Utah
United States,Vermont
United States,Virginia
United States,Washington
United States,West Virginia
United States,Wisconsin
United States,Wyoming
Mexico,Aguascalientes
Mexico,Chiapas
Mexico,Chihuahua
Mexico,Coahuila
Mexico,Colima6
Mexico,Durango
Mexico,Guanajuato
Mexico,Guerrero
Mexico,Hidalgo
Mexico,Jalisco
Mexico,México
Mexico,Michoacán
Mexico,Morelos
Mexico,Nayarit
Mexico,Nuevo León
Mexico,Oaxaca
Mexico,Puebla
Mexico,Querétaro
Mexico,Quintana Roo
Mexico,San Luis Potosí
Mexico,Sinaloa
Mexico,Sonora
Mexico,Tabasco
Mexico,Tamaulipas
Mexico,Tlaxcala
Mexico,Veracruz
Mexico,Yucatán
Mexico,Zacatecas
China,Anhui
China,Hebei
China,Henan
China,Shandong
Russia,Vitebsk Oblast
